World Capitals;Tech History;Movies;Science;Music;Sports
The capital of France;The company that introduced the iPhone in 2007;The director of Inception and Interstellar;The chemical symbol for gold;The lead singer of Queen;The sport played at Wimbledon
Paris;Apple;Christopher Nolan;Au;Freddie Mercury;Tennis
The capital of Australia (not Sydney);The first widely used graphical web browser;The actor who plays Tony Stark;The closest planet to the Sun;"The Beatles album with a zebra crossing on the cover";The number of players on a soccer team on the field
Canberra;Mosaic;Robert Downey Jr.;Mercury;Abbey Road;Eleven
"This Scandinavian capital lies across 14 islands";"Year the World Wide Web was made publicly available";The 1994 film featuring a box of chocolates quote;The powerhouse of the cell;The composer of The Four Seasons;"Country that has won the most FIFA World Cups"
Stockholm;1991;Forrest Gump;Mitochondrion;Antonio Vivaldi;Brazil
The capital of Kazakhstan since 2019;The two founders of Hewlett-Packard;Studio Ghibli film about a girl in a bathhouse;The scientist who formulated the laws of motion;The genre that originated in Jamaica in the late 1960s;The fastest land animal often used as a sport mascot
Astana;Hewlett and Packard;Spirited Away;Isaac Newton;Reggae;Cheetah
The world's highest capital city by elevation;The programming language designed by Brendan Eich in 10 days;The Coen brothers film with a rug that really tied the room together;The particle predicted by Peter Higgs in 1964;"The album by Pink Floyd whose cover features a prism";The only country to host the Summer Olympics but not win a gold medal
La Paz;JavaScript;The Big Lebowski;Higgs boson;The Dark Side of the Moon;Canada
